Missing,Basis,Missing,Missing,Missing,Balance On Hand,Balance On Order,Store Balance On Hand,Missing,Missing
201151,727126,Y,2,1,2257,0,3,2,0
201151,727126,Y,147,138,1209,0,578,295,5
201151,727126,Y,60,57,798,0,385,120,2
201151,727126,Y,101,99,829,0,492,220,7
201151,727126,Y,32,27,214,0,138,67,8
201151,727128,Y,20,17,92,0,45,35,3
201151,727128,Y,25,22,156,0,44,45,2
201151,727128,Y,2,1,1050,0,3,2,0
201151,727128,Y,96,71,1948,0,291,180,38
201151,727128,Y,53,53,252,0,135,104,0
201151,727128,Y,55,47,1269,0,170,107,7
201151,727128,Y,5,4,1249,0,15,8,0
201151,727128,Y,76,61,833,0,160,137,19
201151,727128,Y,63,60,94,0,241,145,10
201151,727128,Y,77,69,1836,0,262,165,23
201151,727128,Y,26,23,1044,0,80,53,5
201151,729842,Y,22,20,67,0,55,40,0
201151,729842,Y,21,17,47,0,46,34,0
201151,729842,Y,266,264,146,1104,825,533,2
201151,729842,Y,110,96,1619,0,366,209,18
201151,729842,Y,97,95,323,0,289,193,3
201151,729842,Y,61,53,667,0,165,127,18
201151,729842,Y,407,407,1092,1380,1230,817,2
201151,729842,Y,46,34,3552,0,90,87,20
201151,729842,Y,66,61,94,0,212,127,4
201151,729842,Y,76,74,589,0,245,159,9
201151,729842,Y,31,30,68,0,95,65,2
201151,729843,Y,23,17,46,0,52,36,3
201151,729843,Y,14,10,50,0,28,18,0
201151,729843,Y,125,119,87,0,333,241,5
201151,729843,Y,91,79,182,0,183,172,19
201151,729843,Y,75,74,333,0,273,151,2
201151,729843,Y,73,69,706,0,245,158,15
201151,729843,Y,150,147,1237,0,397,296,3
201151,729843,Y,112,101,957,0,285,217,19
201151,729843,Y,48,45,59,0,128,90,0
201151,729843,Y,81,79,284,0,240,166,9
201151,729843,Y,34,29,85,0,81,71,12
201151,729844,Y,109,44,0,12,147,90,2
201151,729844,Y,83,33,123,0,122,66,0
201151,729844,Y,277,271,0,1332,799,580,36
201151,729844,Y,631,190,1103,0,674,384,8
201151,729844,Y,245,163,159,0,799,322,0
201151,729844,Y,217,96,462,0,373,202,7
201151,729844,Y,412,410,112,2052,1257,853,21
201151,729844,Y,600,145,3125,0,460,296,9
201151,729844,Y,135,73,309,0,336,147,0
201151,729844,Y,187,94,568,0,340,200,9
201151,729844,Y,98,40,5,0,1134,90,2
201151,822564,Y,284,284,86,12,893,566,3
201151,822564,Y,286,286,147,0,876,572,1
201151,822564,Y,289,281,1188,0,1543,671,4
201151,822564,Y,493,490,321,0,1257,985,11
201151,822564,Y,568,568,85,0,2145,1135,3
201151,822564,Y,193,157,2036,0,575,324,11
201151,822564,Y,428,414,1300,0,1849,844,8
201151,822564,Y,572,570,290,0,1572,1143,16
201151,822564,Y,392,392,628,0,1503,786,0
201151,822564,Y,155,155,662,0,440,311,5
201151,822564,Y,90,90,1092,0,252,180,1
201151,822565,Y,267,266,293,0,775,531,2
201151,822565,Y,282,279,129,0,889,562,4
201151,822565,Y,289,281,638,0,1556,600,12
201151,822565,Y,92,92,1114,0,271,179,0
201151,822565,Y,554,554,705,0,8481,1035,0
201151,822565,Y,27,27,571,0,169,42,0
201151,822565,Y,429,414,290,0,2024,838,7
201151,822565,Y,156,156,984,0,521,309,0
201151,822565,Y,385,383,88,0,1537,732,7
201151,822565,Y,19,19,1398,0,108,34,0
201151,822565,Y,10,10,222,0,54,15,0
201151,822566,Y,275,275,494,0,969,547,1
201151,822566,Y,288,288,303,0,1068,574,1
201151,822566,Y,194,187,1308,0,1390,376,0
201151,822566,Y,443,442,1065,0,1151,855,5
201151,822566,Y,576,576,1139,0,11755,1081,0
201151,822566,Y,254,224,1689,0,808,374,3
201151,822566,Y,244,244,558,0,1327,488,2
201151,822566,Y,464,462,1932,0,1462,904,4
201151,822566,Y,393,393,780,0,2652,751,2
201151,822566,Y,193,191,620,0,549,339,4
201151,822566,Y,108,108,424,0,281,176,0
201151,822567,Y,270,267,185,0,723,535,9
201151,822567,Y,282,280,539,0,869,562,3
201151,822567,Y,110,68,712,12,166,149,14
201151,822567,Y,93,93,1089,0,285,181,0
201151,822567,Y,555,554,648,0,8010,1041,2
201151,822567,Y,28,28,575,0,162,46,0
201151,822567,Y,191,147,546,0,314,298,8
201151,822567,Y,159,159,874,0,458,316,0
201151,822567,Y,388,384,574,0,1358,741,13
201151,822567,Y,19,19,449,0,101,34,1
201151,822567,Y,11,10,225,0,44,16,1
201151,866765,Y,150,138,68,288,318,299,11
201151,866765,Y,239,219,0,228,437,461,27
201151,867698,Y,107,106,164,564,291,272,11
201151,867698,Y,158,158,233,552,343,324,4
201151,868483,Y,148,146,3123,6804,573,389,22
201151,868483,Y,201,194,2604,5184,676,433,27
201151,868485,Y,144,137,352,1440,566,399,37
201151,868485,Y,234,227,762,1800,787,514,44
201151,457273,Y,497,480,141,84,860,509,17
201151,457273,Y,314,302,183,0,554,324,12
201151,457273,Y,452,437,141,0,753,456,15
201151,457273,Y,319,309,60,0,533,334,10
201151,457273,Y,292,286,53,60,601,370,19
201151,457273,Y,669,657,163,84,1197,694,12
201151,457273,Y,621,594,174,228,1094,675,37
201151,457273,Y,318,305,85,72,581,351,20
201151,457273,Y,686,666,88,108,1255,701,21
201151,457273,Y,439,424,117,48,819,484,17
201151,457273,Y,470,449,242,60,818,482,21
201151,457273,Y,480,459,138,72,857,487,21
201151,457273,Y,388,370,108,0,670,392,19
201151,457273,Y,453,432,306,96,859,531,48
201151,457273,Y,591,566,210,240,1052,609,26
201151,457273,Y,296,288,71,60,516,302,8
201151,225490,Y,496,475,98,168,1229,998,106
201151,225490,Y,314,304,6,0,766,645,47
201151,225490,Y,453,441,163,0,1101,910,65
201151,225490,Y,319,308,148,0,817,650,56
201151,225490,Y,292,289,44,144,772,622,34
201151,225490,Y,666,657,2,180,1733,1336,44
201151,225490,Y,618,575,0,1224,1496,1376,210
201151,225490,Y,318,303,0,516,912,786,140
201151,225490,Y,686,618,274,96,1519,1503,324
201151,225490,Y,439,431,0,204,1132,891,56
201151,225490,Y,470,455,117,204,1185,981,80
201151,225490,Y,480,472,87,96,1211,962,41
201151,225490,Y,387,384,84,0,1009,775,18
201151,225490,Y,423,399,89,648,1062,931,143
201151,225490,Y,591,563,0,552,1372,1213,132
201151,225490,Y,295,288,10,108,755,599,36
201151,226209,Y,496,489,40,60,1204,992,41
201151,226209,Y,313,310,96,0,817,626,27
201151,226209,Y,453,447,112,0,1110,907,41
201151,226209,Y,319,316,72,0,780,638,24
201151,226209,Y,292,291,40,72,773,595,20
201151,226209,Y,669,666,2,96,1710,1338,15
201151,226209,Y,617,591,0,672,1429,1251,156
201151,226209,Y,317,311,10,132,902,643,37
201151,226209,Y,686,660,77,216,1845,1386,116
201151,226209,Y,436,435,23,96,1098,873,23
201151,226209,Y,469,461,61,132,1156,948,38
201151,226209,Y,479,477,36,48,1219,958,17
201151,226209,Y,389,385,62,0,949,779,18
201151,226209,Y,425,404,0,420,1129,864,89
201151,226209,Y,590,573,4,336,1453,1187,96
201151,226209,Y,294,285,0,48,745,588,33
201151,226373,Y,496,487,109,96,1265,992,42
201151,226373,Y,314,309,72,0,782,628,41
201151,226373,Y,452,444,145,0,1152,909,56
201151,226373,Y,318,309,76,0,757,638,45
201151,226373,Y,283,277,0,108,791,603,37
201151,226373,Y,661,655,4,204,1668,1328,46
201151,226373,Y,617,594,338,288,1504,1253,124
201151,226373,Y,305,301,0,108,879,614,32
201151,226373,Y,635,601,33,228,1610,1289,149
201151,226373,Y,434,429,14,144,1176,887,50
201151,226373,Y,467,460,87,180,1154,941,46
201151,226373,Y,480,472,19,120,1196,965,42
201151,226373,Y,388,379,98,0,955,776,49
201151,226373,Y,422,400,0,372,1027,850,83
201151,226373,Y,580,558,54,360,1397,1171,115
201151,226373,Y,294,292,18,60,723,591,24
201151,226522,Y,496,495,52,72,1239,993,18
201151,226522,Y,314,313,76,0,799,630,21
201151,226522,Y,452,440,130,0,1133,909,59
201151,226522,Y,318,315,42,0,783,637,23
201151,226522,Y,284,282,5,108,735,595,27
201151,226522,Y,660,651,0,156,1610,1323,53
201151,226522,Y,617,592,0,468,1595,1278,142
201151,226522,Y,304,296,0,120,828,609,45
201151,226522,Y,636,614,101,132,1642,1283,99
201151,226522,Y,432,422,38,144,1147,883,50
201151,226522,Y,467,463,115,156,1151,941,39
201151,226522,Y,479,475,10,132,1208,958,28
201151,226522,Y,387,383,117,0,905,775,25
201151,226522,Y,423,416,20,276,1124,935,52
201151,226522,Y,577,568,19,348,1473,1159,62
201151,226522,Y,294,290,0,60,813,591,30
201151,313666,Y,497,489,156,156,1347,1005,57
201151,313666,Y,314,311,0,0,856,649,32
201151,313666,Y,452,448,105,0,1268,910,30
201151,313666,Y,319,305,103,0,775,645,70
201151,313666,Y,284,283,0,180,779,624,30
201151,313666,Y,667,663,25,84,1838,1342,32
201151,313666,Y,618,585,0,924,1636,1369,189
201151,313666,Y,318,309,131,360,1014,800,93
201151,313666,Y,686,656,117,360,1873,1503,197
201151,313666,Y,434,428,0,120,1168,883,34
201151,313666,Y,470,462,92,180,1327,976,55
201151,313666,Y,481,476,25,156,1317,965,35
201151,313666,Y,389,382,84,0,1045,782,29
201151,313666,Y,423,413,193,288,1198,970,97
201151,313666,Y,589,574,0,360,1554,1225,99
201151,313666,Y,295,292,13,84,783,607,37
201151,313667,Y,493,490,33,96,1309,992,30
201151,313667,Y,311,307,120,0,837,629,33
201151,313667,Y,446,442,105,0,1164,893,16
201151,313667,Y,317,312,76,0,775,637,35
201151,313667,Y,275,274,2,96,752,586,23
201151,313667,Y,650,642,0,132,1815,1301,44
201151,313667,Y,580,559,0,744,1514,1231,123
201151,313667,Y,291,269,0,228,828,620,104
201151,313667,Y,606,564,60,216,1684,1247,169
201151,313667,Y,433,428,1,108,1105,870,27
201151,313667,Y,466,454,33,96,1247,940,47
201151,313667,Y,476,474,46,48,1323,953,15
201151,313667,Y,388,386,74,0,997,778,15
201151,313667,Y,422,407,100,444,1047,869,85
201151,313667,Y,556,546,53,240,1410,1117,67
201151,313667,Y,292,284,67,36,774,588,31
201151,122649,Y,496,495,60,96,1526,1487,170
201151,122649,Y,314,313,202,0,950,942,116
201151,122649,Y,453,453,146,0,1514,1359,27
201151,122649,Y,317,317,81,0,928,951,126
201151,122649,Y,292,290,111,168,913,885,103
201151,122649,Y,670,670,79,120,2273,2009,24
201151,122649,Y,618,616,453,288,1855,1858,214
201151,122649,Y,318,316,41,264,1029,965,104
201151,122649,Y,686,672,291,504,2247,2062,166
201151,122649,Y,437,433,0,168,1359,1319,164
